Designator,Mid X,Mid Y,Layer,Rotation
C1,185.100000mm,-108.100000mm,Top,0
C2,188.100000mm,-111.000000mm,Top,90
C3,177.100000mm,-111.200000mm,Top,90
C4,168.100000mm,-102.400000mm,Top,90
C5,169.212500mm,-110.200000mm,Top,0
C6,184.900000mm,-114.437500mm,Top,270
D2,169.600000mm,-102.400000mm,Top,90
D3,181.600000mm,-99.300000mm,Top,90
J1,186.200000mm,-102.900000mm,Top,270
LS1,175.200000mm,-101.900000mm,Top,270
Q1,168.300000mm,-98.900000mm,Top,0
R1,165.100000mm,-102.400000mm,Top,270
R2,166.600000mm,-102.400000mm,Top,270
R3,169.200000mm,-111.700000mm,Top,0
R4,166.900000mm,-111.000000mm,Top,270
R5,165.700000mm,-98.500000mm,Top,270
R6,187.400000mm,-113.500000mm,Top,180
U1,155.600000mm,-105.700000mm,Top,180
U3,185.200000mm,-110.800000mm,Top,90
Y1,167.200000mm,-106.800000mm,Top,180
